maintenance_id,equipment_id,unit_id,maintenance_type,maintenance_date,completion_date,downtime_days,maintenance_cost,maintenance_status,failure_category
M-00001,E-00958,U-042,Inspection,2025-08-26,2025-09-04,14,19735.49,In Progress,No Failure
M-00002,E-00127,U-025,Corrective,2026-01-25,2026-01-28,10,10664.7,In Progress,Power
M-00003,E-01197,U-057,Preventive,2025-02-08,2025-02-11,3,6795.11,Completed,Power
M-00004,E-00183,U-009,Inspection,2026-07-12,2026-07-16,8,6424.45,Completed,No Failure
M-00005,E-00223,U-009,Inspection,2025-04-25,2025-04-30,1,10311.85,In Progress,Software
M-00006,E-01090,U-003,Corrective,2025-11-28,2025-12-07,16,8334.67,Completed,Mechanical
M-00007,E-00729,U-038,Inspection,2025-06-07,2025-06-14,4,8918.27,In Progress,Power
M-00008,E-00844,U-045,Corrective,2026-04-14,2026-04-20,15,17834.03,Overdue,Power
M-00009,E-00650,U-029,Corrective,2025-03-16,2025-03-26,18,5393.11,Overdue,Electrical
M-00010,E-01460,U-038,Inspection,2025-04-02,2025-04-06,11,9052.89,In Progress,Electrical
M-00011,E-01265,U-010,Preventive,2026-03-19,2026-03-30,7,20293.19,Overdue,Software
M-00012,E-00728,U-035,Corrective,2026-07-05,2026-07-16,9,2173.15,Overdue,Software
M-00013,E-00289,U-059,Inspection,2025-12-01,2025-12-08,2,17466.26,Overdue,Software
M-00014,E-01536,U-028,Inspection,2025-04-24,2025-05-01,5,6961.56,In Progress,Software
M-00015,E-00628,U-015,Corrective,2026-04-27,2026-05-09,6,15001.82,In Progress,Software
M-00016,E-00582,U-040,Corrective,2025-05-21,2025-05-30,12,20994.49,In Progress,Software
M-00017,E-00938,U-044,Corrective,2025-07-15,2025-07-23,2,2716.17,Completed,Power
M-00018,E-01342,U-001,Preventive,2026-05-22,2026-06-01,2,17152.05,Overdue,Mechanical
M-00019,E-01754,U-045,Preventive,2025-05-11,2025-05-15,18,23900.13,In Progress,Power
M-00020,E-00207,U-007,Preventive,2025-05-12,2025-05-18,3,14517.21,Overdue,Mechanical
M-00021,E-00721,U-048,Preventive,2026-01-27,2026-02-01,9,10718.27,Completed,Power
M-00022,E-00074,U-020,Corrective,2025-04-07,2025-04-13,14,10496.84,Overdue,Power
M-00023,E-01233,U-058,Inspection,2025-08-06,2025-08-12,2,13287.13,In Progress,Power
M-00024,E-01499,U-052,Corrective,2025-05-15,2025-05-18,11,6394.27,Overdue,No Failure
M-00025,E-00567,U-001,Preventive,2025-01-15,2025-01-16,16,8190.03,Overdue,Software
M-00026,E-01717,U-027,Preventive,2025-10-18,2025-10-29,9,22402.23,Completed,Power
M-00027,E-00580,U-015,Corrective,2026-06-26,2026-06-30,12,1707.12,In Progress,Mechanical
M-00028,E-00030,U-023,Inspection,2025-08-06,2025-08-10,6,13129.54,Overdue,Software
M-00029,E-01246,U-032,Preventive,2026-04-22,2026-04-25,9,7110.83,In Progress,Power
M-00030,E-00177,U-038,Inspection,2025-01-25,2025-01-26,15,12363.3,Overdue,Software
M-00031,E-00357,U-019,Inspection,2025-08-30,2025-09-05,8,23498.22,Completed,Electrical
M-00032,E-00973,U-034,Corrective,2025-08-14,2025-08-21,12,8907.11,In Progress,Electrical
M-00033,E-00133,U-041,Preventive,2026-03-25,2026-04-02,12,12157.47,Completed,Mechanical
M-00034,E-00657,U-027,Inspection,2025-11-14,2025-11-16,10,11969.74,Completed,Power
M-00035,E-00798,U-054,Corrective,2026-02-21,2026-02-23,11,22337.22,Completed,Software
M-00036,E-00445,U-029,Inspection,2026-08-14,2026-08-17,9,4891.19,Overdue,No Failure
M-00037,E-01705,U-060,Preventive,2025-05-23,2025-05-29,2,23376.57,Completed,Power
M-00038,E-00522,U-040,Inspection,2025-08-16,2025-08-20,2,11198.27,In Progress,Software
M-00039,E-01751,U-025,Inspection,2026-07-07,2026-07-18,11,12854.04,In Progress,Electrical
M-00040,E-00970,U-003,Preventive,2025-07-13,2025-07-25,3,20867.99,Overdue,Software
M-00041,E-01771,U-044,Preventive,2025-02-14,2025-02-22,4,17372.07,Completed,Power
M-00042,E-00905,U-059,Inspection,2025-12-21,2025-12-25,12,8218.93,Overdue,No Failure
M-00043,E-00590,U-060,Preventive,2025-07-05,2025-07-17,3,10824.85,Overdue,Power
M-00044,E-00364,U-023,Inspection,2025-02-04,2025-02-11,11,15151.98,Completed,No Failure
M-00045,E-01469,U-006,Corrective,2025-10-10,2025-10-14,13,6654.05,Completed,Electrical
M-00046,E-00547,U-020,Corrective,2025-10-25,2025-10-29,6,18844.34,Overdue,Electrical
M-00047,E-01205,U-008,Corrective,2025-04-06,2025-04-09,6,17405.44,Overdue,No Failure
M-00048,E-01294,U-022,Corrective,2025-02-27,2025-03-10,5,4546.18,In Progress,Electrical
M-00049,E-01471,U-054,Preventive,2026-05-28,2026-06-03,6,11814.48,Completed,Software
M-00050,E-00914,U-044,Corrective,2026-07-13,2026-07-24,16,3107.38,Overdue,Power
M-00051,E-00386,U-008,Corrective,2026-07-08,2026-07-12,2,849.49,Overdue,No Failure
M-00052,E-00123,U-021,Preventive,2026-03-10,2026-03-21,5,8881.61,Overdue,Electrical
M-00053,E-01322,U-033,Corrective,2026-05-03,2026-05-09,10,10360.94,Overdue,Electrical
M-00054,E-00247,U-006,Preventive,2026-05-06,2026-05-15,10,24116.21,Overdue,No Failure
M-00055,E-00495,U-056,Corrective,2025-10-24,2025-10-31,7,5895.37,Overdue,Mechanical
M-00056,E-01680,U-051,Corrective,2026-01-23,2026-02-03,14,21463.93,Overdue,Mechanical
M-00057,E-01685,U-015,Corrective,2025-03-08,2025-03-13,14,18503.75,In Progress,No Failure
M-00058,E-00954,U-039,Corrective,2025-11-17,2025-11-21,11,24335.25,Completed,Software
M-00059,E-00751,U-042,Inspection,2025-04-21,2025-04-29,13,14437.59,In Progress,Mechanical
M-00060,E-01442,U-052,Corrective,2026-08-03,2026-08-13,14,8516.62,In Progress,No Failure
M-00061,E-00086,U-025,Inspection,2025-08-23,2025-08-27,15,18726.91,Completed,Power
M-00062,E-01167,U-005,Inspection,2026-02-09,2026-02-14,17,6779.03,Completed,No Failure
M-00063,E-00018,U-058,Preventive,2026-08-01,2026-08-04,5,8488.66,Overdue,Mechanical
M-00064,E-00694,U-007,Corrective,2025-12-28,2026-01-07,12,21059.89,Completed,Electrical
M-00065,E-01314,U-024,Preventive,2025-05-14,2025-05-22,13,10623.71,In Progress,No Failure
M-00066,E-00584,U-018,Corrective,2025-05-28,2025-06-02,7,1906.73,Overdue,Electrical
M-00067,E-00095,U-001,Preventive,2026-07-13,2026-07-17,16,4303.76,Overdue,Software
M-00068,E-00293,U-004,Preventive,2025-05-05,2025-05-15,7,9361.74,Completed,Mechanical
M-00069,E-01375,U-018,Inspection,2025-07-14,2025-07-17,6,15380.21,In Progress,No Failure
M-00070,E-00179,U-037,Inspection,2025-11-09,2025-11-16,5,14146.3,Completed,Electrical
M-00071,E-01650,U-054,Inspection,2026-03-19,2026-03-30,11,5354.35,Completed,Software
M-00072,E-00959,U-052,Preventive,2026-07-06,2026-07-17,10,18912.35,In Progress,Electrical
M-00073,E-01408,U-027,Preventive,2025-01-25,2025-02-02,17,4317.81,In Progress,Electrical
M-00074,E-00883,U-042,Corrective,2026-02-06,2026-02-16,10,17351.91,Completed,Electrical
M-00075,E-01402,U-001,Inspection,2025-01-05,2025-01-15,10,5653.86,In Progress,Software
M-00076,E-00326,U-053,Inspection,2025-12-31,2026-01-01,17,8510.99,Overdue,Power
M-00077,E-00685,U-030,Preventive,2026-03-14,2026-03-24,16,19922.54,In Progress,Electrical
M-00078,E-01159,U-055,Preventive,2025-05-30,2025-06-02,11,11474.18,Completed,Electrical
M-00079,E-00502,U-058,Inspection,2025-11-08,2025-11-15,18,20590.92,Overdue,Power
M-00080,E-00970,U-003,Inspection,2025-02-26,2025-03-09,9,11954.36,Completed,Power
M-00081,E-00519,U-043,Corrective,2025-09-15,2025-09-22,13,3081.2,In Progress,No Failure
M-00082,E-00611,U-006,Preventive,2026-01-31,2026-02-09,2,24517.85,Overdue,Electrical
M-00083,E-00346,U-012,Inspection,2026-05-30,2026-06-06,17,17537.23,In Progress,Software
M-00084,E-00347,U-057,Corrective,2025-10-06,2025-10-16,9,22292.6,Completed,Software
M-00085,E-00738,U-040,Inspection,2025-03-27,2025-04-03,11,10718.65,Completed,Power
M-00086,E-01367,U-014,Corrective,2025-11-03,2025-11-04,18,24387.91,Completed,Power
M-00087,E-01780,U-055,Inspection,2025-04-14,2025-04-18,18,1177.65,In Progress,Software
M-00088,E-01518,U-027,Corrective,2025-07-15,2025-07-23,14,14847.62,Completed,Power
M-00089,E-01012,U-048,Inspection,2026-05-21,2026-05-25,18,20272.8,Completed,Power
M-00090,E-00328,U-042,Preventive,2025-01-29,2025-02-05,7,2847.11,In Progress,Power
M-00091,E-00064,U-016,Inspection,2025-01-07,2025-01-10,8,14708.53,In Progress,Power
M-00092,E-00443,U-002,Preventive,2025-03-16,2025-03-20,13,16110.41,Overdue,Power
M-00093,E-01391,U-055,Corrective,2025-03-10,2025-03-11,18,4847.11,Completed,Electrical
M-00094,E-00094,U-019,Preventive,2025-07-07,2025-07-09,18,15072.71,In Progress,Electrical
M-00095,E-00384,U-030,Preventive,2025-02-05,2025-02-08,12,15307.68,Completed,No Failure
M-00096,E-01359,U-009,Corrective,2026-04-13,2026-04-24,11,10271.9,Overdue,No Failure
M-00097,E-00016,U-048,Inspection,2025-01-06,2025-01-08,3,23804.83,In Progress,Mechanical
M-00098,E-01727,U-002,Preventive,2025-08-06,2025-08-11,10,13475.18,In Progress,Power
M-00099,E-01606,U-026,Corrective,2026-06-07,2026-06-09,12,22872.06,In Progress,Mechanical
M-00100,E-01473,U-020,Corrective,2026-05-20,2026-05-27,4,3282.38,Overdue,No Failure
M-00101,E-01466,U-044,Corrective,2026-07-20,2026-07-21,5,12324.5,Overdue,Power
M-00102,E-00068,U-046,Preventive,2025-09-18,2025-09-19,8,16591.33,Overdue,Software
M-00103,E-00020,U-053,Inspection,2026-07-13,2026-07-17,10,15863.94,Overdue,No Failure
M-00104,E-00367,U-006,Preventive,2025-07-29,2025-07-31,13,16818.61,Completed,No Failure
M-00105,E-00768,U-023,Preventive,2025-08-08,2025-08-13,3,13886.42,Completed,Mechanical
M-00106,E-00383,U-044,Corrective,2026-04-07,2026-04-10,12,4115.11,Completed,Power
M-00107,E-00181,U-053,Preventive,2025-08-14,2025-08-16,14,11949.4,In Progress,Mechanical
M-00108,E-00340,U-003,Inspection,2026-06-26,2026-06-30,6,22318.17,In Progress,No Failure
M-00109,E-00208,U-045,Corrective,2025-03-27,2025-04-04,17,3215.01,In Progress,Electrical
M-00110,E-01628,U-012,Corrective,2026-07-04,2026-07-16,5,23850.58,Completed,Power
M-00111,E-00656,U-054,Corrective,2025-04-09,2025-04-13,17,10225.94,In Progress,Power
M-00112,E-00886,U-017,Preventive,2026-03-30,2026-03-31,6,4692.35,Overdue,Software
M-00113,E-00613,U-052,Corrective,2025-03-27,2025-04-07,11,5613.54,Completed,Mechanical
M-00114,E-01380,U-014,Corrective,2025-01-13,2025-01-17,3,15404.19,In Progress,No Failure
M-00115,E-00125,U-027,Preventive,2025-12-17,2025-12-25,11,19986.46,Completed,Software
M-00116,E-00532,U-036,Corrective,2026-05-29,2026-06-01,18,7634.73,In Progress,Electrical
M-00117,E-00128,U-021,Corrective,2025-08-27,2025-09-05,9,11186.02,Overdue,Electrical
M-00118,E-00102,U-003,Inspection,2025-01-08,2025-01-19,8,24906.62,Overdue,Electrical
M-00119,E-00805,U-007,Inspection,2025-10-07,2025-10-12,2,8823.69,Overdue,Power
M-00120,E-00660,U-005,Inspection,2025-12-02,2025-12-03,3,12689.99,Completed,Electrical
M-00121,E-00343,U-050,Inspection,2026-04-11,2026-04-21,15,6438.18,Overdue,Power
M-00122,E-01124,U-015,Inspection,2025-07-11,2025-07-12,4,21245.39,Overdue,Power
M-00123,E-00268,U-006,Corrective,2025-01-12,2025-01-14,3,18909.46,Completed,Power
M-00124,E-00524,U-038,Corrective,2025-01-29,2025-02-02,13,13587.01,Completed,Software
M-00125,E-01222,U-038,Corrective,2025-02-10,2025-02-11,6,7919.8,In Progress,Mechanical
M-00126,E-00132,U-033,Inspection,2025-03-09,2025-03-17,9,21468.59,In Progress,No Failure
M-00127,E-01473,U-020,Corrective,2025-04-01,2025-04-02,13,7152.15,In Progress,Electrical
M-00128,E-01161,U-003,Inspection,2026-03-23,2026-04-01,13,23827.15,Overdue,No Failure
M-00129,E-00335,U-043,Preventive,2025-09-18,2025-09-26,1,8043.69,In Progress,Software
M-00130,E-01403,U-013,Preventive,2025-03-24,2025-04-02,17,3451.52,Completed,No Failure
M-00131,E-00205,U-010,Corrective,2025-10-08,2025-10-20,14,12746.27,Overdue,Electrical
M-00132,E-00952,U-012,Corrective,2026-03-26,2026-03-28,11,3666.53,Overdue,Electrical
M-00133,E-01512,U-017,Preventive,2025-01-30,2025-02-07,2,14421.99,Completed,Electrical
M-00134,E-00865,U-014,Corrective,2025-11-10,2025-11-12,16,21815.04,In Progress,No Failure
M-00135,E-00265,U-056,Inspection,2025-06-06,2025-06-10,18,602.81,Overdue,Mechanical
M-00136,E-00472,U-029,Corrective,2025-11-09,2025-11-18,6,11290.48,Overdue,Power
M-00137,E-00661,U-015,Inspection,2025-07-14,2025-07-17,2,15623.08,In Progress,Software
M-00138,E-01320,U-003,Inspection,2025-07-06,2025-07-11,17,14318.7,In Progress,Power
M-00139,E-00739,U-039,Corrective,2026-05-30,2026-06-02,15,23954.26,Overdue,Software
M-00140,E-01795,U-058,Preventive,2025-07-14,2025-07-25,11,17664.39,Overdue,No Failure
M-00141,E-00335,U-043,Preventive,2025-09-19,2025-09-29,8,14595.49,In Progress,Electrical
M-00142,E-00401,U-016,Corrective,2026-06-26,2026-07-03,10,13576.03,In Progress,Power
M-00143,E-01388,U-013,Preventive,2026-04-11,2026-04-21,18,6196.71,Overdue,Electrical
M-00144,E-01631,U-014,Preventive,2025-12-22,2026-01-03,8,15268.86,Overdue,Software
M-00145,E-00853,U-035,Corrective,2026-04-10,2026-04-13,5,12096.37,In Progress,Power
M-00146,E-01701,U-052,Corrective,2025-08-29,2025-08-30,13,15953.83,Completed,No Failure
M-00147,E-00842,U-020,Preventive,2026-03-11,2026-03-15,9,19598.84,Completed,Mechanical
M-00148,E-01416,U-033,Preventive,2025-05-17,2025-05-23,13,17397.98,In Progress,Mechanical
M-00149,E-00363,U-028,Preventive,2026-03-02,2026-03-09,6,20092.92,Overdue,Software
M-00150,E-00860,U-043,Preventive,2025-07-06,2025-07-10,12,11754.57,In Progress,Mechanical
M-00151,E-00546,U-036,Corrective,2026-01-08,2026-01-20,4,18634.81,Overdue,Mechanical
M-00152,E-00417,U-020,Corrective,2025-10-05,2025-10-08,3,2398.66,In Progress,Mechanical
M-00153,E-00544,U-007,Corrective,2026-08-13,2026-08-18,11,12212.26,In Progress,Power
M-00154,E-01568,U-020,Inspection,2025-03-24,2025-04-02,18,18105.53,Completed,Mechanical
M-00155,E-00776,U-055,Inspection,2025-09-01,2025-09-03,12,2327.56,Overdue,No Failure
M-00156,E-00252,U-047,Corrective,2026-02-22,2026-03-02,6,22600.85,Overdue,Electrical
M-00157,E-00591,U-048,Inspection,2025-07-02,2025-07-12,17,24772.08,Completed,Mechanical
M-00158,E-00904,U-005,Corrective,2025-07-29,2025-08-02,17,22112.73,In Progress,Software
M-00159,E-01663,U-059,Corrective,2025-05-02,2025-05-06,1,1998.3,In Progress,No Failure
M-00160,E-00535,U-007,Inspection,2026-01-13,2026-01-15,17,5895.91,In Progress,Electrical
M-00161,E-01165,U-013,Inspection,2025-07-01,2025-07-05,2,8820.31,In Progress,Software
M-00162,E-00352,U-038,Corrective,2025-09-24,2025-10-06,7,24942.23,Completed,Software
M-00163,E-00188,U-027,Corrective,2025-05-24,2025-05-31,10,22650.18,Completed,Electrical
M-00164,E-01096,U-053,Preventive,2026-01-29,2026-02-03,7,18747.04,Overdue,No Failure
M-00165,E-00551,U-053,Preventive,2026-03-02,2026-03-09,14,18541.34,Overdue,Electrical
M-00166,E-00234,U-031,Corrective,2025-01-28,2025-02-07,14,6437.47,In Progress,Mechanical
M-00167,E-01244,U-024,Preventive,2025-04-15,2025-04-17,17,22865.11,Overdue,No Failure
M-00168,E-00791,U-029,Preventive,2025-12-13,2025-12-20,3,21312.86,In Progress,Electrical
M-00169,E-00172,U-060,Inspection,2025-12-25,2025-12-26,4,3133.29,Completed,Mechanical
M-00170,E-00005,U-005,Inspection,2025-05-23,2025-05-27,3,10675.21,Completed,Mechanical
M-00171,E-01560,U-024,Preventive,2025-02-23,2025-03-03,6,14169.09,Overdue,Software
M-00172,E-00852,U-001,Preventive,2026-06-08,2026-06-19,5,3264.09,Completed,No Failure
M-00173,E-01135,U-043,Preventive,2026-02-05,2026-02-10,18,7736.24,In Progress,No Failure
M-00174,E-01742,U-054,Inspection,2026-04-19,2026-04-26,13,15638.22,Overdue,Electrical
M-00175,E-01035,U-059,Preventive,2025-09-25,2025-09-26,2,16359.62,In Progress,No Failure
M-00176,E-00570,U-035,Preventive,2025-10-04,2025-10-09,13,839.09,In Progress,Power
M-00177,E-01725,U-052,Preventive,2026-05-16,2026-05-20,18,22975.23,Completed,Mechanical
M-00178,E-01186,U-007,Preventive,2026-01-13,2026-01-22,11,18626.76,Overdue,Software
M-00179,E-00560,U-049,Corrective,2026-04-13,2026-04-24,16,17589.46,Completed,Electrical
M-00180,E-01439,U-056,Preventive,2026-05-31,2026-06-10,8,1203.51,In Progress,Electrical
M-00181,E-00979,U-034,Corrective,2026-08-12,2026-08-23,18,21291.13,Completed,Electrical
M-00182,E-00909,U-006,Preventive,2026-03-21,2026-03-29,10,18137.32,Completed,No Failure
M-00183,E-00756,U-051,Inspection,2025-08-12,2025-08-17,18,3032.73,Completed,Mechanical
M-00184,E-01674,U-021,Inspection,2025-08-24,2025-08-25,8,8854.5,In Progress,No Failure
M-00185,E-01792,U-021,Inspection,2025-05-17,2025-05-23,18,16000.5,Overdue,Electrical
M-00186,E-00872,U-006,Inspection,2025-01-16,2025-01-23,7,9252.05,Overdue,Electrical
M-00187,E-00805,U-007,Corrective,2025-01-18,2025-01-24,3,20031.36,Completed,No Failure
M-00188,E-00182,U-014,Corrective,2026-05-28,2026-05-31,13,4547.27,Completed,Electrical
M-00189,E-00637,U-002,Preventive,2025-10-20,2025-10-29,1,21973.0,Completed,Mechanical
M-00190,E-00708,U-038,Preventive,2025-10-28,2025-11-06,12,24575.36,Overdue,Power
M-00191,E-00659,U-028,Corrective,2026-02-20,2026-02-24,11,4358.2,In Progress,Power
M-00192,E-00964,U-007,Inspection,2026-04-10,2026-04-20,11,1432.65,In Progress,Electrical
M-00193,E-01397,U-026,Corrective,2026-01-07,2026-01-15,8,12403.1,In Progress,Software
M-00194,E-01664,U-058,Inspection,2025-12-28,2026-01-09,5,8591.32,Completed,Power
M-00195,E-00678,U-019,Corrective,2026-07-19,2026-07-26,15,19931.18,Overdue,No Failure
M-00196,E-00169,U-029,Corrective,2026-05-19,2026-05-22,6,21371.99,Overdue,Power
M-00197,E-01273,U-017,Inspection,2025-10-08,2025-10-19,14,8530.01,Completed,Power
M-00198,E-01611,U-032,Corrective,2026-02-11,2026-02-16,2,3984.12,Completed,Software
M-00199,E-00696,U-018,Preventive,2025-10-03,2025-10-11,1,1941.82,In Progress,No Failure
M-00200,E-00702,U-023,Inspection,2026-08-08,2026-08-10,5,7430.28,In Progress,Software
M-00201,E-01516,U-020,Corrective,2025-11-24,2025-11-30,8,21010.34,Overdue,Mechanical
