mission_id,unit_id,mission_type,region,start_date,end_date,mission_status,personnel_deployed,equipment_deployed,mission_priority
MS-00001,U-002,Support,Base 02,2025-05-29,2025-06-13,Active,174,20,High
MS-00002,U-028,Training,Base 28,2025-03-27,2025-04-02,Active,262,25,Critical
MS-00003,U-028,Training,Base 28,2026-02-12,2026-02-15,Completed,201,33,Routine
MS-00004,U-020,Support,Base 20,2025-08-12,2025-08-16,Planned,109,14,Critical
MS-00005,U-047,Transport,Base 47,2026-06-19,2026-06-20,Planned,80,13,High
MS-00006,U-057,Training,Base 57,2025-03-21,2025-03-28,Completed,207,30,High
MS-00007,U-057,Support,Base 57,2025-10-31,2025-11-08,Active,181,38,Critical
MS-00008,U-017,Training,Base 17,2025-02-26,2025-02-27,Planned,184,21,High
MS-00009,U-010,Support,Base 10,2025-02-19,2025-02-26,Completed,218,22,Routine
MS-00010,U-038,Training,Base 38,2026-02-27,2026-03-11,Planned,148,32,Routine
MS-00011,U-033,Training,Base 33,2025-03-21,2025-03-28,Planned,42,33,Routine
MS-00012,U-057,Exercise,Base 57,2025-04-28,2025-04-29,Active,249,38,High
MS-00013,U-031,Training,Base 31,2026-02-16,2026-02-27,Active,46,13,Routine
MS-00014,U-001,Support,Base 01,2025-01-26,2025-02-07,Planned,240,21,Routine
MS-00015,U-014,Support,Base 14,2026-06-08,2026-06-11,Active,195,22,Routine
MS-00016,U-010,Transport,Base 10,2025-01-31,2025-02-02,Active,153,23,Critical
MS-00017,U-046,Support,Base 46,2026-02-16,2026-02-27,Planned,75,11,Critical
MS-00018,U-057,Support,Base 57,2025-01-24,2025-01-30,Completed,33,38,High
MS-00019,U-007,Support,Base 07,2025-03-23,2025-04-02,Completed,190,18,High
MS-00020,U-011,Transport,Base 11,2025-12-04,2025-12-06,Completed,219,22,High
MS-00021,U-046,Support,Base 46,2026-07-28,2026-08-04,Completed,185,3,Critical
MS-00022,U-042,Training,Base 42,2025-06-30,2025-07-03,Planned,266,25,Critical
MS-00023,U-032,Exercise,Base 32,2025-06-06,2025-06-18,Planned,118,8,High
MS-00024,U-045,Exercise,Base 45,2025-07-21,2025-07-28,Active,173,17,Routine
MS-00025,U-033,Transport,Base 33,2026-05-28,2026-06-06,Planned,168,30,Routine
MS-00026,U-039,Training,Base 39,2025-01-22,2025-02-01,Planned,300,9,Critical
MS-00027,U-037,Support,Base 37,2025-05-12,2025-05-25,Completed,56,5,High
MS-00028,U-020,Training,Base 20,2025-03-02,2025-03-04,Planned,73,16,Critical
MS-00029,U-028,Training,Base 28,2025-09-17,2025-09-26,Planned,47,26,Critical
MS-00030,U-035,Training,Base 35,2026-06-25,2026-07-04,Completed,295,3,Routine
MS-00031,U-039,Support,Base 39,2025-04-13,2025-04-24,Completed,267,4,High
MS-00032,U-013,Training,Base 13,2026-07-09,2026-07-15,Active,279,23,Routine
MS-00033,U-047,Support,Base 47,2025-09-15,2025-09-29,Planned,251,5,Routine
MS-00034,U-037,Training,Base 37,2026-04-19,2026-04-23,Active,283,2,Routine
MS-00035,U-017,Transport,Base 17,2025-04-03,2025-04-14,Active,104,28,Critical
MS-00036,U-044,Transport,Base 44,2025-11-16,2025-11-18,Active,155,10,Routine
MS-00037,U-053,Exercise,Base 53,2025-05-25,2025-05-26,Planned,218,25,Critical
MS-00038,U-025,Support,Base 25,2025-06-28,2025-07-02,Completed,268,35,Routine
MS-00039,U-040,Transport,Base 40,2025-08-23,2025-09-06,Active,67,6,High
MS-00040,U-029,Training,Base 29,2025-10-17,2025-10-25,Completed,269,16,Routine
MS-00041,U-045,Exercise,Base 45,2025-11-21,2025-12-03,Planned,148,8,High
MS-00042,U-057,Exercise,Base 57,2026-03-06,2026-03-14,Active,64,13,High
MS-00043,U-015,Exercise,Base 15,2025-06-03,2025-06-15,Planned,254,38,Routine
MS-00044,U-017,Training,Base 17,2026-05-01,2026-05-03,Completed,160,5,Routine
MS-00045,U-021,Exercise,Base 21,2025-07-29,2025-07-30,Completed,216,35,High
MS-00046,U-008,Support,Base 08,2026-04-05,2026-04-13,Active,158,5,High
MS-00047,U-037,Transport,Base 37,2026-05-18,2026-05-23,Active,136,13,High
MS-00048,U-013,Exercise,Base 13,2025-01-06,2025-01-19,Completed,48,37,Critical
MS-00049,U-049,Support,Base 49,2025-05-15,2025-05-25,Planned,123,4,Critical
MS-00050,U-010,Exercise,Base 10,2025-05-29,2025-06-11,Active,125,31,Routine
MS-00051,U-017,Exercise,Base 17,2025-11-26,2025-11-30,Planned,283,28,Routine
MS-00052,U-032,Transport,Base 32,2025-06-18,2025-06-22,Active,230,10,Critical
MS-00053,U-030,Transport,Base 30,2025-07-12,2025-07-18,Active,90,38,High
MS-00054,U-053,Training,Base 53,2025-04-30,2025-05-11,Planned,94,36,Critical
MS-00055,U-022,Training,Base 22,2025-12-08,2025-12-16,Planned,143,9,High
MS-00056,U-058,Support,Base 58,2025-02-10,2025-02-18,Planned,237,14,Critical
MS-00057,U-046,Training,Base 46,2025-10-31,2025-11-14,Completed,205,27,Critical
MS-00058,U-007,Exercise,Base 07,2025-05-17,2025-06-01,Completed,198,22,Routine
MS-00059,U-057,Exercise,Base 57,2025-05-08,2025-05-09,Planned,189,15,Routine
MS-00060,U-026,Transport,Base 26,2025-04-23,2025-04-30,Completed,261,37,Critical
MS-00061,U-022,Exercise,Base 22,2026-03-31,2026-04-04,Completed,57,9,Routine
MS-00062,U-039,Exercise,Base 39,2025-05-31,2025-06-01,Completed,106,15,Critical
MS-00063,U-041,Support,Base 41,2025-11-29,2025-12-04,Completed,224,22,Critical
MS-00064,U-054,Transport,Base 54,2026-01-02,2026-01-08,Active,276,22,High
MS-00065,U-017,Transport,Base 17,2026-07-08,2026-07-18,Planned,42,26,Critical
MS-00066,U-004,Support,Base 04,2025-11-10,2025-11-20,Planned,263,34,Critical
MS-00067,U-035,Transport,Base 35,2025-10-23,2025-11-05,Completed,20,27,Routine
MS-00068,U-010,Exercise,Base 10,2026-02-02,2026-02-12,Planned,207,40,High
MS-00069,U-004,Support,Base 04,2025-12-20,2025-12-22,Planned,289,38,Critical
MS-00070,U-002,Exercise,Base 02,2025-07-11,2025-07-24,Completed,258,33,Routine
MS-00071,U-004,Exercise,Base 04,2026-06-30,2026-07-06,Active,30,12,Critical
MS-00072,U-015,Support,Base 15,2025-07-31,2025-08-07,Completed,249,5,High
MS-00073,U-010,Training,Base 10,2026-08-01,2026-08-11,Active,200,16,Critical
MS-00074,U-020,Support,Base 20,2025-04-14,2025-04-29,Planned,249,39,Critical
