training_id,unit_id,personnel_id,training_type,training_date,completion_status,score,certification_status
T-00001,U-047,P-01597,Safety,2026-03-27,Incomplete,58.3,Pending
T-00002,U-045,P-02409,Safety,2025-12-10,Incomplete,55.5,Pending
T-00003,U-016,P-00681,Safety,2025-06-24,Completed,89.0,Certified
T-00004,U-045,P-02835,Leadership,2025-09-24,Incomplete,56.9,Pending
T-00005,U-029,P-00604,Leadership,2026-06-30,Completed,71.5,Pending
T-00006,U-056,P-00216,Advanced,2026-05-09,Completed,71.9,Pending
T-00007,U-005,P-00341,Leadership,2025-02-10,Completed,82.8,Certified
T-00008,U-020,P-02846,Safety,2026-06-08,Completed,84.1,Certified
T-00009,U-030,P-02550,Advanced,2025-03-12,Completed,76.9,Pending
T-00010,U-008,P-00445,Core,2025-12-23,Completed,74.3,Pending
T-00011,U-051,P-01557,Advanced,2026-08-03,Completed,93.1,Certified
T-00012,U-045,P-02470,Core,2025-04-09,Completed,71.7,Pending
T-00013,U-001,P-02619,Safety,2025-10-14,Completed,87.9,Certified
T-00014,U-051,P-00752,Core,2025-12-22,Incomplete,66.5,Pending
T-00015,U-031,P-00094,Safety,2025-08-07,Completed,85.4,Certified
T-00016,U-001,P-02619,Core,2026-06-22,Completed,75.9,Pending
T-00017,U-022,P-01704,Core,2026-06-28,Completed,92.7,Certified
T-00018,U-047,P-02097,Safety,2025-12-27,Incomplete,65.8,Pending
T-00019,U-027,P-02059,Advanced,2026-03-14,Completed,84.0,Certified
T-00020,U-054,P-01069,Leadership,2026-01-18,Incomplete,69.4,Pending
T-00021,U-018,P-02511,Leadership,2025-09-24,Completed,75.2,Pending
T-00022,U-010,P-00545,Safety,2025-06-15,Completed,70.7,Pending
T-00023,U-054,P-02589,Core,2025-11-07,Completed,81.1,Certified
T-00024,U-028,P-00873,Advanced,2026-05-04,Completed,72.3,Pending
T-00025,U-040,P-01338,Safety,2026-05-22,Completed,73.2,Pending
T-00026,U-026,P-02753,Core,2026-04-09,Completed,78.8,Pending
T-00027,U-058,P-02141,Leadership,2026-05-08,Completed,93.8,Certified
T-00028,U-012,P-00743,Advanced,2025-02-28,Completed,89.3,Certified
T-00029,U-038,P-02096,Core,2026-07-11,Incomplete,59.8,Pending
T-00030,U-043,P-01656,Safety,2026-01-18,Completed,98.4,Certified
T-00031,U-007,P-00444,Advanced,2025-06-12,Incomplete,59.8,Pending
T-00032,U-016,P-01161,Core,2026-07-31,Completed,73.6,Pending
T-00033,U-040,P-02527,Leadership,2025-12-11,Completed,81.7,Certified
T-00034,U-021,P-00701,Core,2025-01-21,Incomplete,64.7,Pending
T-00035,U-018,P-00035,Safety,2026-01-30,Completed,87.6,Certified
T-00036,U-005,P-00781,Leadership,2025-12-26,Incomplete,69.3,Pending
T-00037,U-058,P-01854,Advanced,2025-07-05,Incomplete,57.5,Pending
T-00038,U-049,P-00171,Advanced,2026-01-21,Completed,80.3,Certified
T-00039,U-043,P-00313,Core,2025-03-08,Incomplete,65.0,Pending
T-00040,U-029,P-01182,Leadership,2025-10-08,Incomplete,69.0,Pending
T-00041,U-007,P-00444,Leadership,2025-06-11,Completed,83.0,Certified
T-00042,U-037,P-02909,Safety,2025-03-14,Completed,80.4,Certified
T-00043,U-014,P-02695,Leadership,2026-05-20,Incomplete,57.6,Pending
T-00044,U-025,P-01344,Core,2026-02-01,Completed,78.9,Pending
T-00045,U-010,P-02328,Advanced,2025-06-07,Completed,90.1,Certified
T-00046,U-011,P-02905,Safety,2025-02-10,Completed,87.9,Certified
T-00047,U-008,P-00291,Leadership,2025-03-21,Completed,98.2,Certified
T-00048,U-020,P-00777,Advanced,2026-05-12,Completed,94.8,Certified
T-00049,U-039,P-00115,Core,2026-06-26,Completed,82.9,Certified
T-00050,U-013,P-01084,Leadership,2025-02-28,Completed,73.5,Pending
T-00051,U-001,P-02261,Advanced,2026-05-03,Completed,75.9,Pending
T-00052,U-060,P-00886,Core,2026-03-03,Completed,98.7,Certified
T-00053,U-011,P-02340,Leadership,2025-12-20,Completed,90.8,Certified
T-00054,U-040,P-02497,Safety,2026-02-28,Incomplete,62.6,Pending
T-00055,U-010,P-00194,Core,2026-02-14,Incomplete,58.8,Pending
T-00056,U-004,P-02611,Leadership,2026-04-27,Completed,82.4,Certified
T-00057,U-054,P-01197,Leadership,2025-02-26,Incomplete,57.3,Pending
T-00058,U-038,P-00259,Advanced,2026-01-15,Completed,78.1,Pending
T-00059,U-042,P-02580,Leadership,2026-01-26,Completed,85.4,Certified
T-00060,U-044,P-00293,Leadership,2025-04-07,Completed,79.5,Pending
