equipment_id,unit_id,equipment_type,category,manufacturer,acquisition_year,operational_status,condition,utilization_rate,last_maintenance_date,next_maintenance_date,downtime_days
E-00001,U-009,Generator,Power,Nova,2017,Operational,Good,74.3,2026-07-23,2026-12-21,2
E-00002,U-035,Aircraft,Surveillance,Apex,2025,Maintenance,Good,77.9,2025-04-11,2025-05-22,24
E-00003,U-017,Aircraft,Power,Apex,2017,Operational,Poor,97.3,2025-07-25,2025-10-25,29
E-00004,U-012,Generator,Command,Apex,2018,Operational,Fair,95.9,2025-02-28,2025-03-28,15
E-00005,U-005,Aircraft,Surveillance,Orion,2015,Operational,Fair,98.4,2026-01-10,2026-04-08,23
E-00006,U-056,Aircraft,Power,Orion,2020,Maintenance,Fair,52.1,2026-02-04,2026-05-03,21
E-00007,U-013,Sensor,Power,Nova,2022,Operational,Fair,51.4,2025-09-03,2026-02-22,32
E-00008,U-025,Communications,Power,Apex,2016,Operational,Good,47.5,2026-03-18,2026-07-10,1
E-00009,U-035,Generator,Power,Nova,2016,Operational,Fair,34.8,2026-08-10,2026-12-10,9
E-00010,U-021,Sensor,Surveillance,Orion,2022,Operational,Good,29.0,2026-08-13,2026-11-02,0
E-00011,U-030,Communications,Power,Nova,2024,Operational,Good,41.3,2025-05-20,2025-09-15,7
E-00012,U-060,Generator,Command,Apex,2017,Operational,Fair,85.3,2025-02-23,2025-05-31,20
E-00013,U-057,Vehicle,Surveillance,Nova,2021,Operational,Good,72.6,2025-08-07,2025-12-22,14
E-00014,U-007,Aircraft,Mobility,Orion,2023,Operational,Fair,93.6,2025-01-31,2025-03-28,7
E-00015,U-006,Sensor,Mobility,Nova,2019,Operational,Fair,32.5,2026-07-17,2026-11-06,17
E-00016,U-048,Aircraft,Surveillance,Orion,2019,Operational,Poor,72.0,2026-03-20,2026-08-14,3
E-00017,U-008,Communications,Mobility,Nova,2023,Maintenance,Fair,83.7,2025-07-18,2025-09-13,14
E-00018,U-058,Sensor,Command,Nova,2021,Maintenance,Fair,74.6,2026-04-19,2026-08-21,12
E-00019,U-013,Vehicle,Power,Apex,2025,Maintenance,Good,94.0,2025-01-04,2025-04-25,9
E-00020,U-053,Vehicle,Mobility,Orion,2020,Maintenance,Poor,61.5,2026-07-04,2026-08-04,2
E-00021,U-002,Communications,Command,Apex,2019,Operational,Good,45.6,2026-05-11,2026-07-19,7
E-00022,U-028,Communications,Mobility,Apex,2021,Operational,Poor,84.5,2025-11-05,2025-12-17,31
E-00023,U-011,Vehicle,Command,Orion,2024,Operational,Fair,48.1,2025-07-23,2025-09-20,33
E-00024,U-050,Vehicle,Command,Nova,2026,Operational,Poor,88.5,2025-06-30,2025-09-21,22
E-00025,U-009,Communications,Command,Apex,2017,Operational,Good,71.2,2025-12-27,2026-05-09,14
E-00026,U-045,Aircraft,Command,Apex,2019,Operational,Fair,88.2,2026-06-19,2026-09-03,22
E-00027,U-015,Sensor,Surveillance,Apex,2023,Operational,Fair,97.8,2025-08-21,2026-01-08,25
E-00028,U-006,Sensor,Mobility,Nova,2017,Operational,Fair,68.6,2026-07-19,2026-09-07,32
E-00029,U-052,Sensor,Mobility,Apex,2015,Operational,Fair,30.0,2025-07-24,2025-11-22,6
E-00030,U-023,Aircraft,Command,Nova,2016,Limited,Fair,73.3,2025-08-16,2025-12-25,16
E-00031,U-035,Sensor,Command,Orion,2022,Operational,Fair,30.5,2026-02-17,2026-05-01,13
E-00032,U-045,Communications,Mobility,Nova,2016,Operational,Poor,43.4,2025-05-26,2025-07-24,22
E-00033,U-036,Communications,Power,Orion,2015,Operational,Fair,34.6,2025-07-08,2026-01-02,21
E-00034,U-014,Sensor,Command,Nova,2026,Operational,Fair,89.2,2025-02-20,2025-05-13,4
E-00035,U-055,Vehicle,Power,Orion,2025,Operational,Fair,42.1,2026-06-29,2026-09-17,0
E-00036,U-032,Aircraft,Power,Apex,2025,Operational,Poor,45.9,2025-08-23,2025-09-15,4
E-00037,U-015,Sensor,Mobility,Nova,2019,Operational,Poor,51.9,2025-06-28,2025-12-11,30
E-00038,U-043,Vehicle,Power,Nova,2019,Operational,Fair,23.6,2026-01-31,2026-05-12,16
E-00039,U-037,Vehicle,Power,Apex,2021,Operational,Poor,41.4,2025-06-28,2025-08-06,21
E-00040,U-022,Vehicle,Mobility,Nova,2026,Operational,Fair,67.4,2025-10-06,2025-12-19,20
E-00041,U-029,Generator,Command,Apex,2022,Limited,Good,84.9,2026-05-24,2026-06-17,16
E-00042,U-011,Vehicle,Mobility,Nova,2025,Operational,Fair,27.7,2025-06-12,2025-07-24,9
E-00043,U-020,Aircraft,Command,Nova,2021,Operational,Poor,52.3,2025-07-26,2025-12-29,29
E-00044,U-026,Aircraft,Surveillance,Apex,2016,Operational,Good,54.1,2026-08-03,2026-12-24,14
E-00045,U-006,Sensor,Surveillance,Nova,2015,Operational,Fair,96.7,2025-05-16,2025-10-30,33
E-00046,U-035,Sensor,Power,Apex,2025,Maintenance,Good,95.3,2026-07-12,2026-12-25,19
E-00047,U-013,Sensor,Power,Orion,2018,Operational,Good,96.3,2025-04-04,2025-09-19,21
E-00048,U-012,Communications,Mobility,Apex,2016,Operational,Poor,25.5,2025-05-08,2025-06-03,22
E-00049,U-032,Generator,Surveillance,Orion,2022,Operational,Good,76.9,2025-10-06,2025-10-26,8
E-00050,U-027,Sensor,Power,Orion,2023,Limited,Poor,81.0,2026-04-21,2026-09-15,25
E-00051,U-020,Generator,Mobility,Orion,2018,Maintenance,Fair,91.2,2026-04-06,2026-08-13,2
E-00052,U-017,Vehicle,Surveillance,Apex,2020,Operational,Fair,75.9,2025-02-03,2025-06-23,12
E-00053,U-003,Aircraft,Surveillance,Nova,2017,Operational,Fair,55.3,2025-10-06,2025-11-23,22
E-00054,U-009,Generator,Command,Apex,2026,Operational,Fair,67.5,2025-08-17,2025-09-08,11
E-00055,U-024,Communications,Command,Orion,2021,Operational,Poor,36.5,2025-04-23,2025-07-28,15
E-00056,U-006,Aircraft,Power,Nova,2021,Operational,Fair,93.8,2025-10-24,2026-02-26,27
E-00057,U-016,Generator,Power,Nova,2018,Operational,Fair,76.7,2025-12-05,2026-01-12,19
E-00058,U-040,Aircraft,Command,Nova,2018,Operational,Poor,95.6,2026-02-10,2026-05-07,17
E-00059,U-038,Communications,Power,Orion,2019,Maintenance,Good,62.1,2025-10-19,2026-03-31,10
E-00060,U-010,Aircraft,Power,Nova,2021,Operational,Good,68.4,2025-02-18,2025-07-10,13
E-00061,U-037,Aircraft,Power,Apex,2018,Limited,Good,28.3,2026-06-19,2026-07-11,28
E-00062,U-009,Vehicle,Surveillance,Apex,2022,Operational,Fair,44.1,2025-06-27,2025-11-26,22
E-00063,U-013,Generator,Power,Orion,2024,Operational,Good,88.7,2026-02-27,2026-04-20,2
E-00064,U-016,Generator,Power,Nova,2021,Operational,Fair,50.5,2025-02-13,2025-03-21,9
E-00065,U-047,Vehicle,Mobility,Apex,2026,Operational,Fair,28.5,2026-08-04,2026-09-22,13
E-00066,U-047,Sensor,Power,Nova,2026,Maintenance,Poor,51.3,2025-12-08,2026-03-22,21
E-00067,U-041,Aircraft,Surveillance,Apex,2024,Maintenance,Poor,37.5,2025-01-03,2025-02-09,16
E-00068,U-046,Generator,Command,Orion,2026,Operational,Fair,51.7,2026-07-20,2026-10-04,5
E-00069,U-005,Aircraft,Power,Apex,2018,Operational,Fair,91.2,2026-07-10,2026-09-16,26
E-00070,U-011,Communications,Command,Orion,2022,Operational,Fair,34.6,2025-02-04,2025-06-08,13
E-00071,U-042,Generator,Command,Nova,2022,Operational,Poor,66.4,2025-01-20,2025-06-18,25
E-00072,U-051,Vehicle,Power,Nova,2026,Limited,Good,65.5,2025-01-29,2025-04-30,24
E-00073,U-049,Vehicle,Surveillance,Orion,2019,Operational,Good,57.3,2025-06-06,2025-08-13,2
E-00074,U-020,Vehicle,Command,Apex,2023,Operational,Fair,95.8,2025-11-23,2026-01-23,10
E-00075,U-053,Sensor,Surveillance,Orion,2017,Limited,Fair,80.1,2025-10-15,2025-12-14,12
E-00076,U-013,Communications,Command,Apex,2017,Operational,Good,30.8,2026-06-17,2026-10-17,6
E-00077,U-014,Communications,Mobility,Apex,2018,Operational,Fair,52.7,2025-01-11,2025-05-23,4
E-00078,U-047,Sensor,Power,Apex,2022,Operational,Fair,31.4,2026-03-15,2026-08-04,22
E-00079,U-049,Vehicle,Command,Orion,2025,Operational,Fair,36.8,2025-09-13,2025-10-23,11
E-00080,U-059,Aircraft,Power,Orion,2017,Operational,Good,22.3,2026-08-19,2026-11-16,8
E-00081,U-003,Generator,Surveillance,Apex,2024,Operational,Poor,83.8,2026-07-08,2026-08-01,5
E-00082,U-030,Communications,Power,Apex,2020,Operational,Good,55.1,2025-06-17,2025-10-20,16
E-00083,U-043,Vehicle,Surveillance,Nova,2025,Limited,Poor,59.6,2026-04-19,2026-07-14,26
E-00084,U-007,Vehicle,Surveillance,Orion,2025,Operational,Poor,38.2,2025-09-28,2026-02-07,9
E-00085,U-051,Generator,Mobility,Apex,2017,Maintenance,Fair,67.9,2025-06-01,2025-11-17,21
E-00086,U-025,Generator,Power,Nova,2026,Operational,Poor,31.8,2026-07-01,2026-09-22,31
E-00087,U-016,Aircraft,Mobility,Apex,2016,Operational,Good,26.8,2026-04-08,2026-05-10,7
E-00088,U-034,Vehicle,Command,Nova,2020,Maintenance,Poor,64.2,2026-06-10,2026-12-04,3
E-00089,U-043,Vehicle,Surveillance,Orion,2026,Operational,Good,83.8,2026-04-11,2026-06-27,9
E-00090,U-023,Generator,Command,Nova,2020,Operational,Poor,90.9,2025-09-15,2025-11-02,31
E-00091,U-007,Communications,Surveillance,Orion,2026,Operational,Fair,40.0,2025-06-29,2025-12-08,29
E-00092,U-012,Generator,Power,Apex,2017,Operational,Good,50.1,2025-01-22,2025-05-18,20
E-00093,U-044,Communications,Command,Nova,2026,Operational,Good,75.4,2026-01-27,2026-04-07,12
E-00094,U-019,Sensor,Mobility,Orion,2023,Operational,Poor,59.9,2025-11-06,2026-04-28,21
E-00095,U-001,Vehicle,Command,Apex,2020,Operational,Poor,74.6,2026-04-21,2026-09-17,22
E-00096,U-005,Sensor,Surveillance,Orion,2024,Operational,Poor,92.3,2025-07-14,2025-11-12,27
E-00097,U-041,Aircraft,Power,Orion,2018,Operational,Fair,34.8,2025-06-13,2025-11-07,30
E-00098,U-021,Generator,Command,Apex,2021,Operational,Good,90.9,2025-06-13,2025-09-30,34
E-00099,U-006,Vehicle,Power,Nova,2026,Operational,Good,32.1,2025-05-18,2025-08-19,7
E-00100,U-005,Communications,Mobility,Apex,2024,Operational,Fair,45.3,2026-02-25,2026-08-12,25
E-00001,U-009,Generator,Power,Nova,2017,Operational,Good,74.3,2026-07-23,2026-12-21,2
