incident_id,unit_id,incident_date,incident_category,severity,status,resolution_days
I-00001,U-049,2025-11-14,Equipment,High,Investigating,9
I-00002,U-044,2025-04-29,Safety,Low,Open,8
I-00003,U-026,2026-04-08,Safety,Low,Investigating,3
I-00004,U-049,2026-03-09,Equipment,High,Investigating,7
I-00005,U-033,2025-03-16,Safety,Critical,Open,15
I-00006,U-055,2025-01-05,Logistics,Medium,Open,17
I-00007,U-024,2025-02-07,Equipment,Medium,Investigating,2
I-00008,U-026,2025-09-12,Training,Low,Investigating,9
I-00009,U-025,2025-10-20,Training,Low,Open,15
I-00010,U-023,2025-06-24,Training,Low,Resolved,0
I-00011,U-005,2026-04-11,Training,High,Open,9
I-00012,U-038,2025-09-01,Training,Critical,Resolved,3
I-00013,U-019,2025-04-06,Equipment,Critical,Investigating,0
I-00014,U-005,2026-01-05,Equipment,Medium,Resolved,15
I-00015,U-039,2025-05-19,Equipment,Medium,Resolved,3
I-00016,U-059,2025-06-07,Equipment,Low,Resolved,2
I-00017,U-042,2026-07-21,Logistics,High,Resolved,1
I-00018,U-004,2026-05-23,Training,Medium,Open,12
I-00019,U-011,2026-07-04,Training,Medium,Open,7
I-00020,U-043,2026-05-14,Logistics,Low,Resolved,20
I-00021,U-055,2025-08-07,Training,Critical,Investigating,4
I-00022,U-038,2025-10-13,Training,Medium,Investigating,15
I-00023,U-012,2025-05-22,Equipment,Critical,Investigating,15
I-00024,U-010,2026-05-29,Equipment,Medium,Open,9
I-00025,U-048,2025-08-30,Equipment,Critical,Open,6
I-00026,U-012,2025-05-20,Equipment,Critical,Investigating,12
I-00027,U-007,2026-05-26,Training,Medium,Investigating,8
I-00028,U-043,2025-03-15,Logistics,Medium,Open,19
I-00029,U-053,2026-06-04,Safety,Low,Resolved,18
I-00030,U-046,2025-05-27,Training,Medium,Investigating,3
I-00031,U-052,2025-06-24,Logistics,Medium,Investigating,19
I-00032,U-032,2026-01-15,Equipment,Medium,Resolved,16
I-00033,U-015,2025-06-02,Safety,Medium,Resolved,15
I-00034,U-050,2025-09-26,Safety,Low,Resolved,5
I-00035,U-040,2025-08-25,Logistics,Critical,Investigating,17
I-00036,U-024,2025-03-26,Training,High,Investigating,8
I-00037,U-050,2025-11-16,Training,High,Resolved,9
I-00038,U-010,2026-04-20,Equipment,Critical,Open,13
I-00039,U-036,2025-07-12,Equipment,Medium,Open,8
I-00040,U-035,2025-08-07,Equipment,Critical,Resolved,11
I-00041,U-024,2026-04-04,Equipment,Critical,Resolved,10
I-00042,U-006,2025-08-26,Equipment,Low,Open,12
I-00043,U-022,2025-08-09,Safety,Medium,Investigating,8
I-00044,U-023,2026-01-26,Logistics,Critical,Investigating,14
I-00045,U-003,2025-12-29,Logistics,Low,Investigating,2
I-00046,U-024,2025-03-30,Equipment,Medium,Open,7
I-00047,U-024,2026-02-09,Equipment,High,Investigating,0
I-00048,U-008,2025-07-30,Training,High,Open,1
I-00049,U-046,2025-09-06,Training,Low,Open,7
I-00050,U-029,2025-07-17,Equipment,Low,Resolved,20
I-00051,U-042,2025-05-12,Equipment,Low,Open,14
I-00052,U-015,2026-07-08,Equipment,Medium,Resolved,13
I-00053,U-050,2025-02-10,Logistics,Critical,Resolved,17
I-00054,U-045,2026-02-28,Logistics,Medium,Open,15
I-00055,U-002,2026-02-28,Training,Critical,Open,19
I-00056,U-048,2026-06-06,Logistics,High,Investigating,17
I-00057,U-007,2026-08-13,Equipment,High,Resolved,2
I-00058,U-006,2025-01-19,Equipment,High,Resolved,20
I-00059,U-014,2026-06-23,Equipment,High,Open,18
I-00060,U-016,2025-05-30,Logistics,High,Open,4
I-00061,U-040,2026-02-02,Training,Critical,Open,4
I-00062,U-004,2025-03-25,Equipment,Low,Investigating,10
I-00063,U-050,2025-07-21,Equipment,Medium,Open,19
I-00064,U-045,2026-02-06,Safety,Low,Resolved,17
I-00065,U-025,2026-01-25,Training,Low,Open,10
I-00066,U-006,2026-01-30,Training,High,Investigating,10
I-00067,U-039,2025-05-31,Equipment,Critical,Investigating,19
I-00068,U-031,2026-07-29,Equipment,Critical,Resolved,0
I-00069,U-004,2026-06-24,Safety,Low,Investigating,14
I-00070,U-001,2025-07-23,Equipment,Medium,Investigating,1
I-00071,U-048,2025-01-14,Training,Medium,Resolved,2
I-00072,U-013,2025-10-01,Logistics,Medium,Open,0
I-00073,U-024,2025-08-06,Equipment,Low,Open,19
I-00074,U-046,2025-01-09,Training,High,Open,16
I-00075,U-057,2025-05-29,Equipment,Critical,Open,13
I-00076,U-003,2025-03-29,Safety,Critical,Open,17
I-00077,U-040,2025-07-31,Equipment,Low,Open,20
I-00078,U-007,2025-02-10,Safety,High,Open,0
I-00079,U-059,2026-03-01,Safety,Critical,Resolved,9
I-00080,U-037,2026-05-09,Safety,High,Resolved,20
I-00081,U-010,2025-02-04,Logistics,Critical,Resolved,12
I-00082,U-055,2026-03-13,Equipment,Low,Open,1
I-00083,U-039,2025-11-14,Training,Medium,Open,19
I-00084,U-047,2025-10-13,Equipment,Medium,Open,12
I-00085,U-021,2025-09-02,Equipment,Critical,Open,8
I-00086,U-057,2026-05-09,Equipment,High,Open,15
I-00087,U-025,2025-06-06,Equipment,Medium,Open,14
I-00088,U-059,2026-01-17,Safety,High,Investigating,8
I-00089,U-033,2025-08-16,Safety,Critical,Resolved,9
I-00090,U-048,2025-08-08,Logistics,Low,Open,12
I-00091,U-006,2026-03-23,Logistics,Critical,Open,0
I-00092,U-060,2026-05-12,Equipment,Critical,Open,4
I-00093,U-054,2025-11-20,Logistics,High,Resolved,8
I-00094,U-034,2025-09-04,Logistics,Medium,Resolved,3
I-00095,U-029,2025-02-03,Safety,Medium,Resolved,19
I-00096,U-036,2026-07-13,Safety,Low,Open,18
I-00097,U-021,2026-03-29,Equipment,Medium,Resolved,6
I-00098,U-060,2025-08-26,Training,Critical,Open,6
I-00099,U-018,2025-05-26,Equipment,Medium,Investigating,4
I-00100,U-010,2026-03-04,Training,Low,Open,3
I-00001,U-049,2025-11-14,Equipment,High,Investigating,9
