unit_id,unit_name,unit_type,region,base_location,commanding_structure,personnel_authorized,personnel_actual,readiness_score,operational_status
U-001,Unit 001,Division,North,Base 01,Synthetic Command,1128,1102,75.6,Operational
U-002,Unit 002,Logistics,West,Base 02,Synthetic Command,2016,1974,67.8,Operational
U-003,Unit 003,Logistics,North,Base 03,Synthetic Command,965,938,82.7,Operational
U-004,Unit 004,Logistics,West,Base 04,Synthetic Command,2049,1979,80.4,Operational
U-005,Unit 005,Brigade,South,Base 05,Synthetic Command,1351,1217,59.0,Limited
U-006,Unit 006,Support,South,Base 06,Synthetic Command,1765,1658,65.3,Operational
U-007,Unit 007,Brigade,East,Base 07,Synthetic Command,1340,1125,73.5,Operational
U-008,Unit 008,Support,North,Base 08,Synthetic Command,1604,1430,80.2,Operational
U-009,Unit 009,Brigade,Central,Base 09,Synthetic Command,1840,1683,93.6,Operational
U-010,Unit 010,Logistics,East,Base 10,Synthetic Command,1500,1268,93.6,Operational
U-011,Unit 011,Division,East,Base 11,Synthetic Command,2082,2013,75.1,Operational
U-012,Unit 012,Division,North,Base 12,Synthetic Command,1063,825,72.8,Operational
U-013,Unit 013,Division,East,Base 13,Synthetic Command,1678,1587,56.0,Limited
U-014,Unit 014,Support,North,Base 14,Synthetic Command,1627,1554,82.0,Operational
U-015,Unit 015,Division,West,Base 15,Synthetic Command,2147,1965,84.5,Operational
U-016,Unit 016,Logistics,South,Base 16,Synthetic Command,1677,1588,91.6,Operational
U-017,Unit 017,Brigade,East,Base 17,Synthetic Command,1564,1329,76.4,Operational
U-018,Unit 018,Brigade,South,Base 18,Synthetic Command,1721,1633,72.3,Operational
U-019,Unit 019,Air,West,Base 19,Synthetic Command,2061,1858,69.7,Operational
U-020,Unit 020,Division,South,Base 20,Synthetic Command,1192,1105,90.7,Operational
U-021,Unit 021,Logistics,West,Base 21,Synthetic Command,2049,1892,74.8,Operational
U-022,Unit 022,Division,Central,Base 22,Synthetic Command,1641,1565,90.5,Operational
U-023,Unit 023,Division,South,Base 23,Synthetic Command,1910,1867,76.8,Operational
U-024,Unit 024,Brigade,West,Base 24,Synthetic Command,1764,1592,54.2,Limited
U-025,Unit 025,Logistics,North,Base 25,Synthetic Command,1681,1509,89.5,Operational
U-026,Unit 026,Logistics,East,Base 26,Synthetic Command,1134,940,75.7,Operational
U-027,Unit 027,Brigade,East,Base 27,Synthetic Command,1596,1548,74.3,Operational
U-028,Unit 028,Division,Central,Base 28,Synthetic Command,1925,1710,82.2,Operational
U-029,Unit 029,Logistics,South,Base 29,Synthetic Command,1117,937,71.3,Operational
U-030,Unit 030,Division,Central,Base 30,Synthetic Command,1213,1098,91.0,Operational
U-031,Unit 031,Brigade,East,Base 31,Synthetic Command,1986,1966,65.6,Operational
U-032,Unit 032,Brigade,South,Base 32,Synthetic Command,1529,1448,68.6,Operational
U-033,Unit 033,Brigade,Central,Base 33,Synthetic Command,2061,2021,86.9,Operational
U-034,Unit 034,Air,Central,Base 34,Synthetic Command,1157,1105,82.5,Operational
U-035,Unit 035,Division,Central,Base 35,Synthetic Command,1238,1151,61.2,Operational
U-036,Unit 036,Support,West,Base 36,Synthetic Command,1311,1109,73.4,Operational
U-037,Unit 037,Division,South,Base 37,Synthetic Command,1664,1532,85.7,Operational
U-038,Unit 038,Brigade,Central,Base 38,Synthetic Command,1031,925,68.9,Operational
U-039,Unit 039,Brigade,South,Base 39,Synthetic Command,2034,1956,74.9,Operational
U-040,Unit 040,Support,North,Base 40,Synthetic Command,1038,1010,75.3,Operational
U-041,Unit 041,Logistics,South,Base 41,Synthetic Command,1952,1872,73.7,Operational
U-042,Unit 042,Air,South,Base 42,Synthetic Command,2069,1902,88.5,Operational
U-043,Unit 043,Air,East,Base 43,Synthetic Command,1868,1642,71.9,Operational
U-044,Unit 044,Air,North,Base 44,Synthetic Command,1767,1642,78.7,Operational
U-045,Unit 045,Brigade,South,Base 45,Synthetic Command,1101,1066,67.8,Operational
U-046,Unit 046,Logistics,West,Base 46,Synthetic Command,1292,1224,81.8,Operational
U-047,Unit 047,Brigade,West,Base 47,Synthetic Command,1187,1059,81.0,Operational
U-048,Unit 048,Brigade,Central,Base 48,Synthetic Command,2027,1982,87.2,Operational
U-049,Unit 049,Division,West,Base 49,Synthetic Command,930,887,95.1,Operational
U-050,Unit 050,Division,West,Base 50,Synthetic Command,1894,1751,66.5,Operational
U-051,Unit 051,Support,West,Base 51,Synthetic Command,1020,958,52.8,Limited
U-052,Unit 052,Logistics,West,Base 52,Synthetic Command,1484,1356,98,Operational
U-053,Unit 053,Logistics,Central,Base 53,Synthetic Command,1217,1149,67.6,Operational
U-054,Unit 054,Support,North,Base 54,Synthetic Command,1024,813,98,Operational
U-055,Unit 055,Logistics,South,Base 55,Synthetic Command,1002,833,51.6,Limited
U-056,Unit 056,Brigade,South,Base 56,Synthetic Command,1016,866,79.6,Operational
U-057,Unit 057,Air,North,Base 57,Synthetic Command,1040,868,95.9,Operational
U-058,Unit 058,Logistics,Central,Base 58,Synthetic Command,2066,1983,85.1,Operational
U-059,Unit 059,Logistics,Central,Base 59,Synthetic Command,981,803,90.0,Operational
U-060,Unit 060,Division,East,Base 60,Synthetic Command,1547,1461,83.9,Operational
U-001,Unit 001,Division,North,Base 01,Synthetic Command,1128,1102,75.6,Operational
